7.6664    	1.30904   	0.358268  	0.481156  	0.495929  	0.434915  	
7.875     	1.2809    	0.361522  	0.484995  	0.496395  	0.436597  	
8.0864    	1.2537    	0.364771  	0.488554  	0.496759  	0.438131  	
8.3006    	1.22737   	0.368013  	0.492031  	0.49713   	0.439659  	
8.5176    	1.20186   	0.371248  	0.495312  	0.497439  	0.441095  	
8.7374    	1.17711   	0.374473  	0.49841   	0.49769   	0.442447  	
8.96      	1.15308   	0.377689  	0.501441  	0.497948  	0.443799  	
9.1854    	1.12972   	0.380893  	0.504255  	0.498122  	0.445035  	
9.4136    	1.10699   	0.384084  	0.507013  	0.498303  	0.446274  	
9.6446    	1.08484   	0.387263  	0.509622  	0.498436  	0.447445  	
9.8784    	1.06324   	0.390427  	0.512091  	0.498522  	0.44855   	
10.115    	1.04216   	0.393575  	0.514516  	0.498618  	0.449663  	
10.3544   	1.02155   	0.396707  	0.516773  	0.498646  	0.450683  	
10.5966   	1.0014    	0.399822  	0.518992  	0.498686  	0.451713  	
10.8416   	0.98167   	0.402918  	0.521098  	0.498687  	0.452688  	
11.0894   	0.962339  	0.405995  	0.523097  	0.498654  	0.453613  	
11.34     	0.943385  	0.409052  	0.525033  	0.498611  	0.45452   	
11.5934   	0.924786  	0.412088  	0.526908  	0.498559  	0.455409  	
11.8496   	0.906523  	0.415102  	0.528724  	0.498499  	0.45628   	
12.1086   	0.88858   	0.418093  	0.530453  	0.498412  	0.457109  	
12.3704   	0.870941  	0.421061  	0.5321    	0.498299  	0.457897  	
12.635    	0.853591  	0.424005  	0.5337    	0.498182  	0.458672  	
12.9024   	0.83652   	0.426924  	0.535255  	0.498062  	0.459434  	
13.1726   	0.819715  	0.429818  	0.536767  	0.49794   	0.460183  	
13.4456   	0.803166  	0.432685  	0.53821   	0.497798  	0.460897  	
13.7214   	0.786866  	0.435526  	0.539589  	0.497638  	0.461577  	
14        	0.770805  	0.438339  	0.540958  	0.497495  	0.462269  	
